,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
11,Former New York City and billionaire businessman Mike Bloomberg has released plans to help shore up Social Security and increase retirement savings as part of his bid for the White House. Here's how his proposals aim to boost workers' bottom lines.,"Nevada será la primera prueba real de si el senador de Vermont Bernie Sanders ha podido expandir su atractivo entre los latinos, donde su campaña ha estado trabajando desde hace más ocho meses con capacitaciones y anuncios en español.",1.0,208.0,41.0,9.0,19.0,3.0,20.5,5.073170731707317,0.0,0.0,0.0,4.878048780487805,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,35.0,0.0,0.0,2.0,12.0,2.0,6.0,-2.0,1.0,-18.5,0.05,0.0,0.0,0.0,4.88,0.0,2.0,-10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,-8.47,-1.89,1.06,-3.03,0.86,-6.38,-0.01,-0.06,-1.47,0.0,1.13,-1.29,-1.85,-0.76,-0.04,0.03,0.72,-0.03,-0.06,-0.03,0.0,-1.85,-0.01,-0.01,-0.06
12,"How did an avowed socialist get to the top of the Democratic Party? He is supported by millions of younger voters who have been raised to support Bernie Sanders, even if their parents don't realize it, writes Jake Novak.","Joe Biden y Bernie Sanders presentarán sus respectivas plataformas antes de las elecciones primarias del martes en Idaho, Michigan, Mississippi, Missouri, Dakota del Norte y Washington. Aquí hay un vistazo a sus propuestas sobre temas clave.",1.0,182.0,39.0,11.0,12.0,2.0,19.5,4.666666666666667,1.0,18.181818181818183,0.0,7.6923076923076925,0.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,-24.0,3.0,8.0,-13.0,-1.0,1.5,-1.06,1.0,18.18,0.0,7.69,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,-7.6,-1.36,1.48,-3.04,0.76,-6.1,-0.05,0.02,-0.59,0.0,1.49,-1.36,-1.37,-0.77,-0.04,0.01,0.64,-0.03,-0.03,-0.03,0.0,-1.37,-0.01,-0.01,-0.03
13,"""Bernie scares me,"" the Texas GOP senator told CNBC on Wednesday. ""I'd rather not even roll the dice,"" even though on paper it seems President Trump would have an easier time beating Sanders.","¿Cuál es la verdadera razón de los intentos regulares de Trump de llamar la atención sobre las supuestas conspiraciones que se llevan a cabo para lastimar a Sanders? Probablemente sea puro cálculo político, principalmente porque eso es en lo que Trump siempre…",1.0,159.0,33.0,8.0,12.0,3.0,16.5,4.818181818181818,0.0,0.0,0.0,3.0303030303030303,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,1.0,-60.0,-9.0,5.0,-11.0,2.0,-4.5,-0.4,-1.0,0.0,0.0,3.03,0.0,-2.0,-9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0.0,0.0,1.0,-8.5,-1.34,1.62,-3.05,0.75,-6.08,-0.08,0.02,-1.13,0.0,1.47,-1.41,-1.39,-0.77,-0.04,0.0,0.58,-0.03,-0.0,-0.03,0.0,-1.39,-0.01,-0.01,-0.0
14,"'How to Make Your Money Last' by Jane Bryant Quinn has been updated. In an interview with CNBC, she reveals what she's learned after a lifetime of covering all things money.","Michael Bloomberg siguió siendo blanco de sus rivales presidenciales demócratas el jueves por la noche, cuando el exvicepresidente Joe Biden y la senadora Elizabeth Warren de Massachusetts criticaron duramente al exalcalde de la ciudad de Nueva York durante l…",1.0,143.0,31.0,8.0,9.0,3.0,15.5,4.612903225806452,0.0,12.5,0.0,0.0,0.0,31.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,-79.0,-8.0,5.0,-17.0,2.0,-23.5,-1.08,0.0,12.5,0.0,0.0,0.0,1.0,-6.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-10.34,-1.46,1.75,-3.26,0.74,-6.12,-0.12,0.01,-0.77,0.0,1.25,-1.46,-1.14,-0.78,-0.04,0.06,0.58,-0.03,0.02,-0.03,0.0,-1.14,-0.01,-0.01,0.02
15,"""The history of New Hampshire picking people who go on to be president of the United States, at least for the last half-century, hasn't been wonderful,"" David Rubenstein told CNBC.",Aumentan los homicidios de extranjeros en México en los últimos diez años. El coronavirus afecta a Coca-Cola. Muere el hombre más viejo del mundo. Esto es lo que debes saber para comenzar el día. Primero la verdad.,1.0,151.0,30.0,6.0,11.0,2.0,30.0,5.033333333333333,0.0,33.33333333333333,0.0,3.3333333333333335,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,-27.0,-7.0,3.0,-12.0,-4.0,22.6,0.22,0.0,33.33,0.0,3.33,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-11.45,-1.62,1.73,-3.32,0.66,-5.26,-0.13,0.01,0.85,0.0,1.27,-1.51,-1.24,-0.78,-0.04,0.05,0.53,-0.03,-0.03,-0.03,0.0,-1.24,-0.01,-0.01,-0.03
16,Technical trading and the rise of Bernie Sanders appeared to help fuel Monday's pullback.,"Los seis principales aspirantes a la candidatura presidencial demócrata se reunieron para un debate el miércoles por la noche, solo días antes de las importantes asambleas partidarias de Nevada, y la atención estuvo puesta principalmente en el exalcalde de Nu…",1.0,76.0,14.0,3.0,6.0,2.0,14.0,5.428571428571429,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,-145.0,-26.0,-2.0,-15.0,1.0,-26.0,-0.1,0.0,0.0,0.0,0.0,0.0,-18.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,-16.85,-2.7,1.54,-3.67,0.6,-5.43,-0.11,0.0,0.32,0.0,1.08,-1.54,-2.02,-0.78,-0.04,0.03,0.48,-0.03,-0.07,-0.03,0.0,-2.02,-0.01,-0.01,-0.07
18,"When it comes to protecting consumers' money, many in the financial industry are in one of two camps: those in favor of a 'fiduciary rule' or those who back a 'best interest' regulation. Now, some states are poised to wade into the fight by adopting a best in…","Aunque aún es muy temprano para saber quién será el candidato demócrata a la presidencia de Estados Unidos, lo que sí sabemos es que seguramente será un candidato hombre, blanco, mayor de 70 años, que se enfrentará a Trump, que también es un hombre blanco may…",1.0,213.0,48.0,8.0,11.0,2.0,24.0,4.4375,0.0,25.0,0.0,6.25,0.0,32.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,-2.0,2.0,6.0,-21.0,1.0,-22.0,-0.24,0.0,25.0,0.0,6.25,0.0,3.0,-5.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,-18.66,-2.63,1.51,-3.82,0.52,-5.72,-0.15,-0.0,-0.15,0.0,1.2,-1.66,-2.37,-0.75,-0.04,0.13,0.52,-0.03,-0.15,-0.03,0.0,-2.37,-0.01,-0.01,-0.15
19,"""The greater the extent that Biden is seen as the Democratic nominee, I think investors will be comforted,"" Evercore founder Roger Altman said.",Este es el momento para la pregunta definitiva sobre el movimiento de Bernie Sanders: ¿está Estados Unidos preparado para un presidente socialista democrático?,1.0,121.0,23.0,7.0,8.0,2.0,23.0,5.260869565217392,0.0,28.57142857142857,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,-16.0,0.0,6.0,-8.0,1.0,0.0,-0.7,-1.0,28.57,0.0,0.0,0.0,2.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,-20.64,-3.05,1.56,-3.99,0.47,-5.39,-0.14,-0.0,0.88,0.0,1.05,-1.68,-2.64,-0.75,-0.04,0.11,0.48,0.02,-0.18,-0.03,0.0,-2.64,0.04,-0.01,-0.18
20,"The cost of renting has risen each year since 2011. In 16 of the largest U.S. cities, minimum wage workers do not make enough money to cover rent, according to MagnifyMoney.","Ahead of the Nevada caucuses, Culinary Union members voice concern over what Sen. Bernie Sanders' ""Medicare for All"" proposal could mean for them.",1.0,143.0,31.0,7.0,9.0,5.0,8.0,4.612903225806452,0.0,0.0,0.0,3.225806451612903,0.0,27.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,19.0,8.0,5.0,-5.0,2.0,-3.5,-0.78,0.0,0.0,0.0,3.23,-4.35,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,-21.38,-3.05,1.61,-4.1,0.57,-5.81,-0.16,-0.01,0.45,0.0,1.06,-1.71,-2.59,-0.75,-0.04,0.1,0.54,0.02,-0.2,-0.03,0.0,-2.59,0.03,-0.01,-0.2
21,"Tax treatment varies among types of retirement accounts, which means the investments you hold in each of them should ideally capitalize on those differences, experts say.","The Trump administration wants to slash billions of dollars in federal support from Medicaid, food stamps and other safety net programs for the poor, while largely sparing the Medicare program that benefits seniors.",1.0,145.0,26.0,5.0,9.0,2.0,26.0,5.576923076923077,0.0,0.0,0.0,3.8461538461538463,0.0,24.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,24.0,0.0,0.0,2.0,-38.0,-7.0,2.0,-6.0,0.0,-7.0,0.03,0.0,0.0,0.0,-2.21,-3.03,-7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-7.0,0.0,0.0,2.0,-21.96,-3.28,1.56,-4.19,0.52,-5.38,-0.14,-0.01,0.05,0.0,1.11,-1.73,-2.68,-0.76,-0.04,0.09,0.5,0.02,-0.13,-0.03,0.0,-2.68,0.03,-0.01,-0.13
22,"Paying medical bills on a credit card may seem like a quick fix, but it could cost you more in the long run. CNBC Select spoke to experts about what to consider before charging medical debt.","Mike Bloomberg has vowed as a Democratic candidate for president to ""strengthen entitlement programs."" But when he was mayor of New York City, Bloomberg twice compared Social Security to a ""Ponzi scheme"" and repeatedly said cuts to that program as well as Med…",1.0,155.0,36.0,8.0,9.0,3.0,18.0,4.305555555555555,0.0,0.0,0.0,2.7777777777777777,2.7777777777777777,30.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,30.0,0.0,0.0,2.0,-63.0,-7.0,2.0,-8.0,1.0,-4.0,-0.76,0.0,-16.67,0.0,0.45,2.78,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,-22.05,-3.06,1.64,-4.28,0.53,-5.33,-0.18,-0.01,-0.31,0.0,1.1,-1.62,-2.51,-0.76,-0.04,0.08,0.46,0.02,-0.07,-0.03,0.0,-2.51,0.03,-0.01,-0.07
23,The former NYU Stern professor believes every child deserves to have their basic needs met.,"As Democrats push forward in the fight for the party's presidential nomination, one issue is at the top of voters' minds: Health care.",1.0,77.0,15.0,4.0,5.0,2.0,15.0,5.133333333333334,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,1.0,-35.0,-8.0,2.0,-5.0,0.0,-8.0,0.26,0.0,-50.0,0.0,-4.35,-4.35,-5.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-25.39,-3.72,1.56,-4.53,0.49,-5.41,-0.18,-0.01,-0.63,0.0,0.98,-1.65,-2.97,-0.76,-0.04,0.07,0.43,0.01,-0.06,-0.03,0.0,-2.97,0.03,-0.01,-0.06
24,"Having a new baby can not only change your sleep patterns, it can also change how you file your taxes. Thankfully, the IRS has quite a few breaks for parents that could help put extra money back in your pocket. Here's a look at how parents could cut their bil…","In a sign of Amy Klobuchar's determination to stop Bernie Sanders from becoming the Democratic presidential nominee, her campaign argued in a memo released Monday that the Minnesota senator is the moderate best positioned to beat him.",1.0,211.0,50.0,13.0,12.0,3.0,16.666666666666668,4.22,0.0,0.0,0.0,0.0,2.0,34.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,34.0,0.0,0.0,6.0,13.0,13.0,6.0,0.0,1.0,-20.33,-1.13,0.0,-14.29,0.0,-2.7,2.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,-23.1,-2.94,1.83,-4.48,0.49,-5.42,-0.21,-0.02,-0.94,0.0,0.86,-1.59,-2.64,-0.77,-0.04,0.1,0.4,0.01,0.16,-0.03,0.0,-2.64,0.03,-0.01,0.16
25,A constitutional challenge by a doctor who argues patients should have the right to pay for private care if the public system leaves them waiting too long is expected to wrap up today in a Vancouver courtroom.,"Tuesday night's debate was a frenetic free-for-all, with six candidates all trying to knock Democratic presidential front-runner Bernie Sanders off the course of claiming the party's nomination.",1.0,173.0,37.0,9.0,10.0,2.0,37.0,4.675675675675675,0.0,11.11111111111111,0.0,2.7027027027027026,0.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,31.0,0.0,0.0,1.0,5.0,10.0,5.0,-1.0,0.0,10.0,-1.55,0.0,-13.89,0.0,2.7,-7.41,6.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,-22.45,-2.71,1.94,-4.5,0.45,-4.64,-0.23,-0.02,-0.79,0.0,0.86,-1.61,-2.45,-0.77,-0.04,0.09,0.37,0.01,0.16,-0.03,0.0,-2.45,0.02,-0.01,0.16
26,A lawyer for patients and doctors fighting to maintain public health care in British Columbia says a proponent for private care wants to benefit from provincial regulation of private insurance while ignoring aspects of a law aimed at discouraging a parallel s…,"Former Chicago Mayor Rahm Emanuel on Tuesday said there is a sense of ""panic"" in the Democratic Party as Vermont Sen. Bernie Sanders racks up wins in the Democratic primary.",1.0,219.0,42.0,8.0,14.0,1.0,42.0,5.214285714285714,0.0,0.0,0.0,2.380952380952381,2.380952380952381,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,75.0,12.0,5.0,0.0,-2.0,27.0,0.41,0.0,-33.33,0.0,-0.95,-0.95,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,-20.14,-2.32,2.0,-4.38,0.38,-3.74,-0.22,-0.02,-1.06,0.0,0.85,-1.54,-2.34,-0.77,-0.04,0.08,0.35,0.01,0.13,-0.03,0.0,-2.34,0.02,-0.01,0.13
