,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
14,These 'artificial ecosystem' experiments could help develop strategies to mitigate the spread of potentially dangerous viruses,"The last Ebola patient being treated in the Democratic Republic of Congo went home from a treatment center on Tuesday, according to the World Health Organization, a significant step in the countdown to declaring an end to the world's second-deadliest outbreak…",1.0,111.0,16.0,4.0,5.0,1.0,16.0,6.9375,0.0,0.0,0.0,0.0,6.25,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-109.0,-25.0,-1.0,-11.0,0.0,-25.0,1.57,0.0,0.0,0.0,-4.88,6.25,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.0,0.0,0.0,0.0,-20.96,-4.89,-1.27,-0.27,0.2,-3.42,0.2,-0.02,4.18,0.0,-0.41,-0.24,-3.44,-0.02,-0.04,0.16,-0.31,0.07,-0.27,-0.02,0.0,-3.44,-0.02,0.07,-0.27
15,"The World Health Organization said despite positive signs in Congo, the country's Ebola epidemic continues to be a global health emergency.","As China and the world try to stop the spread of the novel coronavirus, the fight against another deadly disease, Ebola, has reached an encouraging ""milestone,"" the World Health Organization said Friday.",1.0,119.0,21.0,3.0,9.0,2.0,21.0,5.666666666666667,0.0,33.33333333333333,0.0,4.761904761904762,9.523809523809524,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-53.0,-11.0,-1.0,-4.0,0.0,-11.0,0.29,0.0,33.33,0.0,1.64,6.4,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,-22.99,-5.35,-1.38,-0.41,0.19,-3.59,0.22,-0.02,5.12,0.0,-0.22,0.13,-3.61,-0.02,-0.04,0.14,-0.32,0.05,-0.28,-0.02,0.0,-3.61,-0.02,0.05,-0.28
16,Canada will focus its $6.5 million in coronavirus research on the medical and social sides of the outbreak.,"Never interested in government details, President Donald Trump now wants to purge officials of dubious loyalty. Wall Street is reminding Americans a weakened executive branch carries risks.",1.0,90.0,18.0,2.0,4.0,3.0,9.5,5.0,0.0,0.0,0.0,0.0,5.555555555555555,16.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,16.0,0.0,0.0,1.0,-73.0,-9.0,-4.0,-9.0,0.0,-4.0,-1.04,0.0,-16.67,0.0,-3.7,-1.85,-11.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,-11.0,0.0,0.0,1.0,-26.5,-5.93,-1.53,-0.84,0.24,-4.43,0.19,-0.02,3.98,0.0,-0.32,0.22,-4.05,-0.02,-0.04,0.13,-0.2,0.04,-0.22,-0.02,0.0,-4.05,-0.02,0.04,-0.22
17,Barrick Gold CEO Mark Bristow said the lessons the company learned from the 2014 Ebola outbreak are informing its response to the ongoing coronavirus outbreak.,"Nebraska's state slogan ""Honestly, it's not for everyone,"" should have an asterisk, because everyone with even the trickiest disease seems welcome at Nebraska's largest medical facility.",1.0,135.0,25.0,4.0,12.0,2.0,25.0,5.4,0.0,25.0,0.0,0.0,8.0,21.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,1.0,-26.0,-1.0,-1.0,4.0,0.0,-1.0,-0.79,0.0,25.0,0.0,-3.85,8.0,-3.0,0.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,1.0,-27.11,-6.06,-1.56,-0.77,0.22,-4.31,0.19,-0.02,4.36,0.0,-0.42,0.44,-4.17,-0.02,-0.04,0.12,-0.16,0.03,-0.18,-0.02,0.0,-4.17,-0.02,0.03,-0.18
18,CNBC's Jim Cramer said his favorite market indicator is showing it's time to buy stocks while also explaining why he's soured on sector ETFs. He also sat down with Barrick Gold CEO Mark Bristow.,Here's what else you need to know to Get Up to Speed and Out the Door.,1.0,161.0,34.0,9.0,14.0,3.0,17.0,4.735294117647059,0.0,11.11111111111111,0.0,2.941176470588235,0.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0,1.0,106.0,18.0,5.0,10.0,1.0,1.0,1.3,0.0,11.11,0.0,2.94,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,19.0,0.0,0.0,0.0,-26.29,-5.7,-1.32,-0.6,0.26,-4.62,0.16,-0.02,3.97,0.0,-0.35,0.21,-3.69,-0.02,-0.04,0.11,-0.17,0.02,-0.14,-0.02,0.0,-3.69,-0.02,0.02,-0.14
19,Your 401(k) likely isn't recovering from the coronavirus as quickly as you'd hoped. Yet history shows stocks typically rebound from outbreaks before long.,"The White House has requested $1.25 billion in emergency funding to address the novel coronavirus, part of an effort to direct as much as $2.5 billion in total funds to bolster its response to the growing global crisis, according to a letter obtained by CNN.",1.0,132.0,23.0,5.0,6.0,3.0,11.5,5.739130434782608,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,-82.0,-22.0,-3.0,-6.0,-1.0,-4.17,0.98,0.0,0.0,0.0,-2.22,-4.44,-13.0,0.0,0.0,0.0,-3.0,0.0,-1.0,0.0,0.0,-13.0,0.0,0.0,-1.0,-27.01,-5.92,-1.3,-0.85,0.3,-5.18,0.17,-0.02,3.06,0.0,-0.43,0.01,-3.91,-0.02,-0.04,0.11,-0.13,0.02,-0.15,-0.02,0.0,-3.91,-0.02,0.02,-0.15
20,"Stringent travel restrictions imposed on inbound flights from China to contain the coronavirus outbreak become ""irrelevant"" in a potential pandemic because ""you can't keep out the entire world,"" a top U.S. health official said.",Dr. Colleen Kraft of Emory University writes that washing hands and protecting medical workers are our best chance to keep the coronavirus epidemic from spreading further.,1.0,194.0,34.0,7.0,11.0,4.0,11.666666666666666,5.705882352941177,0.0,0.0,0.0,2.941176470588235,5.88235294117647,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,48.0,8.0,0.0,2.0,1.0,-1.33,0.09,0.0,-14.29,0.0,-0.9,2.04,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,-1.0,0.0,-24.7,-5.6,-1.19,-0.84,0.38,-5.67,0.19,-0.02,2.24,0.0,-0.37,0.11,-3.59,-0.02,0.0,0.1,-0.14,0.01,-0.16,-0.02,0.0,-3.59,-0.02,0.01,-0.16
21,"""I hope it's not that bad, but we should assume it will be until we know otherwise,"" Gates wrote in an article published Friday in The New England Journal of Medicine.","Dr. Mark Rupp tells CNN patients are in the ""chicken soup stage.""",1.0,137.0,31.0,10.0,6.0,2.0,31.0,4.419354838709677,0.0,10.0,0.0,0.0,3.225806451612903,27.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,27.0,0.0,2.0,1.0,83.0,19.0,8.0,-1.0,-1.0,26.67,-0.08,0.0,-40.0,0.0,0.0,3.23,15.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,15.0,0.0,2.0,1.0,-25.19,-5.45,-0.95,-1.05,0.36,-5.24,0.14,-0.02,1.95,0.0,-0.44,0.07,-3.43,-0.02,0.0,0.09,-0.15,0.09,-0.13,-0.02,0.0,-3.43,-0.02,0.09,-0.13
22,"India reported three confirmed cases, out of more than 1,700 people tested around the country as of Thursday, according to the Indian Council of Medical Research.","Since the Chinese city of Wuhan went into lockdown two weeks ago, university student Victor Vincent has watched as other international students on his campus have returned home.",1.0,137.0,26.0,3.0,8.0,2.0,26.0,5.269230769230769,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,-13.0,-2.0,-2.0,-3.0,0.0,-2.0,-0.09,0.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-7.0,0.0,0.0,-1.0,-25.64,-5.53,-1.04,-1.17,0.35,-5.07,0.14,-0.02,1.25,0.0,-0.51,-0.1,-3.55,-0.02,-0.0,0.09,-0.07,0.08,-0.14,-0.02,0.0,-3.55,-0.02,0.08,-0.14
23,The province’s acting chief medical officer of health says there are still some outstanding tests that remain for coronavirus in New Brunswick.,"Some students at a New York university are in hot water over allegations they held what the school is describing as a ""coronavirus-themed party.""",1.0,122.0,22.0,4.0,9.0,2.0,22.0,5.545454545454546,0.0,25.0,0.0,4.545454545454546,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,0.0,9.5,0.46,0.0,-25.0,0.0,0.38,-4.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.68,-5.76,-1.08,-1.23,0.33,-5.08,0.15,-0.02,1.65,0.0,-0.39,-0.25,-3.61,-0.02,-0.0,0.12,-0.09,0.07,-0.15,-0.02,0.0,-3.61,-0.02,0.07,-0.15
24,"""In short, we may only be seeing the tip of the iceberg,"" Tedros Adhanom Ghebreyesus, director-general of the World Health Organization, said in a tweet Sunday","When the World Health Organization declared the outbreak of the novel coronavirus a public health emergency of international concern, it did so over fears that smaller or less-developed countries would struggle to contain the virus.",1.0,134.0,26.0,4.0,10.0,1.0,26.0,5.153846153846154,0.0,25.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,1.0,0.0,-64.0,-9.0,-1.0,-1.0,-1.0,-9.0,-0.5,0.0,25.0,0.0,0.0,-20.0,-8.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-8.0,0.0,1.0,-1.0,-27.16,-5.82,-1.12,-1.24,0.28,-4.93,0.14,-0.02,2.01,0.0,-0.45,-0.4,-3.71,-0.02,-0.0,0.12,-0.1,0.11,-0.16,-0.02,0.0,-3.71,-0.02,0.11,-0.16
25,World Health Organization officials are concerned about new coronavirus cases confirmed in France and the U.K. that were transmitted without any travel history to China.,"Former Vice President Joe Biden on Sunday slammed the Trump administration's handling of the novel coronavirus outbreak, saying he would handle it differently if he were president.",1.0,145.0,25.0,5.0,11.0,4.0,8.666666666666666,5.8,0.0,40.0,0.0,0.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,-9.0,-2.0,0.0,0.0,2.0,-18.33,0.1,0.0,20.0,0.0,0.0,0.3,2.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.0,0.0,2.0,0.0,0.0,-3.0,-27.17,-5.91,-1.12,-1.22,0.35,-5.45,0.15,-0.02,2.93,0.0,-0.51,-0.38,-3.65,-0.02,-0.01,0.11,-0.11,0.1,-0.17,0.02,0.0,-3.65,-0.02,0.1,-0.17
