,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
10,"For many Americans, the cost of regularly taking and filling their medications is too much. So much so, 44% of respondents in a new online poll say that within the last year, they did not purchase at least one medically necessary prescription because of cost.","As Democrats push forward in the fight for the party's presidential nomination, one issue is at the top of voters' minds: Health care.",1.0,215,45,5,11,3,22.5,4.777777777777778,0,20.0,0.0,0.0,0.0,40,0,1,1,2,0,1,0,0,40,0,0,1,103.0,22.0,3.0,1.0,1.0,-0.5,-0.09,0.0,-30.0,0.0,-4.35,-4.35,20.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,-11.32,-2.65,0.3,-2.89,0.29,-3.45,0.11,-0.09,-5.71,0.0,-0.64,-0.23,-2.44,-0.57,0.09,0.36,0.44,-0.17,-0.2,-0.04,0.0,-2.44,0.0,-0.22,-0.2
11,"If a job is (or will be) part of your post-65 life, be sure you know the rules for putting off or dropping Medicare due to workplace coverage — and the deadlines you'll face when you go to pick it back up — so you don't have to pay late-enrollment penalties.","A major part of the Affordable Care Act -- the expansion of the Medicaid program -- may be linked to lower rates of women dying in pregnancy, childbirth or about six weeks postpartum, according to a new study.",1.0,208,51,15,10,2,51.0,4.078431372549019,0,13.333333333333334,0.0,0.0,0.0,41,0,1,0,0,0,5,0,0,41,0,0,5,36.0,13.0,10.0,-4.0,0.0,13.0,-0.45,0.0,-6.67,0.0,0.0,-2.63,13.0,0.0,1.0,0.0,-1.0,0.0,5.0,0.0,0.0,13.0,0.0,0.0,5.0,-7.7,-0.99,1.14,-3.02,0.24,-0.94,0.0,-0.09,-5.09,0.0,-0.74,-0.4,-1.18,-0.57,0.17,0.33,0.35,-0.17,0.18,-0.04,0.0,-1.18,0.0,-0.22,0.18
12,"Democratic Montana Gov. Steve Bullock will challenge Republican Sen. Steve Daines, adding another battleground in the 2020 fight for the Senate.","House Speaker Nancy Pelosi and Senate Minority Leader Chuck Schumer slammed President Donald Trump's budget proposal on Tuesday, with Schumer describing it as ""a blueprint for destroying America.""",1.0,124,21,3,11,4,7.0,5.904761904761905,0,0.0,0.0,0.0,0.0,17,0,0,0,1,0,0,0,0,17,0,0,0,-45.0,-7.0,0.0,-7.0,2.0,-7.5,-0.13,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-9.0,0.0,0.0,-1.0,-11.1,-1.89,0.94,-3.06,0.34,-2.19,0.05,-0.09,-5.59,0.0,-0.82,-0.54,-1.96,-0.57,0.15,0.31,0.35,-0.17,0.12,-0.04,0.0,-1.96,0.0,-0.22,0.12
13,"Trump's proposed fiscal 2021 budget released Monday includes a one-time, $1 billion investment to build out a bigger supply of child care options, including those sponsored by employers. But one expert says that's a ""drop in the bucket"" when it comes to solvi…","Michigan Gov. Gretchen Whitmer, an emerging figure on the national political landscape, endorsed Joe Biden on Thursday, giving the former vice president a boost days ahead of his showdown with Vermont Sen. Bernie Sanders in her state's primary.",1.0,218,43,9,12,2,21.5,5.069767441860465,0,0.0,0.0,0.0,0.0,38,0,0,0,4,0,1,0,0,38,0,0,1,11.0,5.0,6.0,-8.0,-2.0,8.83,-0.38,0.0,0.0,0.0,-5.26,-5.26,4.0,0.0,0.0,0.0,4.0,0.0,-2.0,0.0,0.0,4.0,0.0,0.0,-2.0,-7.3,-1.1,1.19,-3.02,0.3,-2.23,0.04,-0.09,-6.02,0.0,-0.89,-0.67,-1.13,-0.57,0.14,0.29,0.56,-0.17,0.13,-0.04,0.0,-1.13,0.0,-0.22,0.13
14,Wall Street firms are attributing the relief rally on Wednesday to the surprising outcome from Super Tuesday.,William J. Barber and Liz Theoharis write that there is untapped potential among the voting bloc of 23 million poor and low-income voters that remains largely ignored by the major political parties.,1.0,93,17,2,9,2,17.0,5.470588235294118,0,50.0,0.0,5.88235294117647,0.0,15,0,0,0,0,0,0,0,0,15,0,0,0,-74.0,-15.0,-3.0,0.0,-1.0,1.0,0.25,0.0,30.0,0.0,5.88,-3.12,-11.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,-12.34,-2.14,0.94,-3.19,0.25,-2.57,0.05,-0.09,-3.06,0.0,-0.56,-0.77,-1.95,-0.57,0.13,0.27,0.48,-0.17,0.08,-0.04,0.0,-1.95,0.0,-0.22,0.08
15,"As of Wednesday, there are at least 129 COVID-19 cases in the U.S. across 13 states, according to the CDC, and 11 deaths, according to state and local officials.","Vanessa Kerry writes that the story of Osmel Martinez Azcue, a man charged over $3,000 for taking responsible action and visiting a hospital to be screened for the novel coronavirus after he returned from China with flu-like symptoms, proves that if we are go…",1.0,133,29,3,8,4,10.0,4.586206896551724,0,33.33333333333333,0.0,0.0,0.0,21,0,0,0,3,0,0,0,0,21,0,0,0,-84.0,-15.0,-6.0,-5.0,3.0,-34.0,-0.35,0.0,11.11,0.0,-2.27,-2.27,-15.0,0.0,0.0,0.0,2.0,-1.0,-1.0,0.0,0.0,-15.0,0.0,-1.0,-1.0,-14.24,-2.3,0.79,-3.4,0.34,-3.3,0.01,-0.09,-1.51,0.0,-0.64,-0.86,-2.29,-0.57,0.12,0.25,0.6,-0.17,0.04,-0.04,0.0,-2.29,0.0,-0.22,0.04
16,"More Americans will be getting tested for the coronavirus, and health insurers are waiving co-pays, but it's still important to know what your health plan covers.","The new rule essentially creates a wealth test for immigrants that is based on factors like their age, health, education, income and resources.",1.0,137,26,9,7,2,26.0,5.269230769230769,0,22.22222222222222,0.0,3.8461538461538463,0.0,24,0,0,0,0,0,1,0,0,24,0,0,1,16.0,3.0,6.0,-3.0,0.0,3.0,0.01,0.0,-11.11,0.0,-0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-15.69,-2.62,1.01,-3.64,0.3,-3.01,0.01,-0.09,-0.8,0.0,-0.49,-0.95,-2.41,-0.57,0.12,0.24,0.52,-0.17,0.05,-0.04,0.0,-2.41,0.0,-0.22,0.05
17,"To defeat Trump and strengthen Social Security, we must choose Bernie Sanders as our Democratic nominee, because he has an unwavering record fighting against Social Security cuts -- and fighting for an expansion of the program, writes Sanders' campaign co-cha…",Here's what else you need to know to Get Up to Speed and Out the Door.,1.0,221,40,8,15,1,40.0,5.525,0,0.0,0.0,5.0,0.0,32,0,1,0,0,1,1,0,0,32,0,2,1,166.0,24.0,4.0,11.0,-1.0,24.0,2.09,0.0,0.0,0.0,5.0,0.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,0.0,19.0,0.0,2.0,0.0,-12.31,-2.13,1.14,-3.41,0.21,-1.97,0.03,-0.09,-1.4,0.0,-0.28,-1.02,-2.07,-0.57,0.17,0.22,0.46,-0.12,0.07,-0.04,0.0,-2.07,0.0,-0.11,0.07
18,"As testing is poised to become more widely available from commercial labs, the cost of those diagnostic tests could become a factor in the effort to control the virus.","For the economy's sake, we should be glad that the president's budget has no shot at passage. It is full of outdated ideas that would instantly weaken the economy and undermine our ability to grow and prosper over time.",1.0,139,29,6,7,2,29.0,4.793103448275862,0,16.666666666666664,0.0,6.896551724137931,3.4482758620689653,22,0,0,0,0,0,0,0,0,22,0,0,0,-42.0,-10.0,-2.0,-3.0,-1.0,9.5,0.15,0.0,-8.33,0.0,-0.8,-1.68,-10.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-10.0,0.0,-2.0,0.0,-13.61,-2.27,1.16,-3.63,0.18,-1.62,0.0,-0.09,-1.06,0.0,-0.0,-0.9,-2.3,-0.57,0.16,0.21,0.4,-0.12,0.03,-0.04,0.0,-2.3,0.0,-0.11,0.03
19,Sanders takes aim at Biden over Social Security and trade a day after Biden took a delegate lead over him in Super Tuesday primaries.,"The surprise rate cut by the Federal Reserve shows that the central bank is taking the coronavirus threat seriously, writes Paul R. La Monica, a digital correspondent for CNN Business. But lower rates and other monetary stimulus may not be enough.",1.0,110,24,3,11,2,24.0,4.583333333333333,0,0.0,0.0,4.166666666666666,0.0,18,0,0,0,0,0,1,0,0,18,0,0,1,-97.0,-17.0,-4.0,-5.0,-2.0,10.33,-0.47,0.0,-28.57,0.0,1.73,-2.44,-20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-20.0,0.0,0.0,1.0,-16.22,-2.64,1.03,-3.62,0.15,-1.55,-0.03,-0.09,-1.59,0.0,0.11,-0.97,-2.7,-0.57,0.15,0.2,0.35,-0.12,0.05,-0.04,0.0,-2.7,0.0,-0.12,0.05
20,"Recycle Health has collected more than 5,000 wearable devices and donated them to nonprofit organizations, including senior living homes, homeless shelters and veterans.","Long before the novel coronavirus made its surprise appearance, the nation's nursing homes were struggling to obey basic infection prevention protocols designed to halt the spread of viruses and bacteria they battle daily.",1.0,147,23,5,9,2,23.0,6.391304347826087,0,0.0,0.0,0.0,0.0,21,0,0,0,1,0,1,0,0,21,0,0,1,-43.0,-10.0,-1.0,-5.0,0.0,-10.0,0.63,0.0,-16.67,0.0,0.0,-6.06,-7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-7.0,0.0,0.0,0.0,-16.82,-3.02,1.0,-3.71,0.13,-1.54,0.03,-0.09,-2.07,0.0,0.02,-1.03,-2.92,-0.57,0.14,0.19,0.35,-0.13,0.06,-0.04,0.0,-2.92,0.0,-0.12,0.06
21,Bernie Sanders looks for New Hampshire to deliver another big Democratic primary win in 2020 after the state overwhelmingly backed him in 2016.,"We regularly fact check President Donald Trump's rally speeches from start to finish. When Democratic presidential candidate Bernie Sanders cemented himself as the front-runner for the party nomination with his victory in Saturday's Nevada caucuses, we decide…",1.0,121,23,3,7,2,23.0,5.260869565217392,0,0.0,0.0,4.3478260869565215,4.3478260869565215,21,0,0,0,2,0,1,0,0,21,0,0,1,-103.0,-14.0,-2.0,-10.0,0.0,4.5,-0.79,0.0,0.0,0.0,1.65,4.35,-14.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,-14.0,0.0,-1.0,0.0,-18.55,-3.38,0.89,-3.89,0.11,-1.53,0.03,-0.09,-2.5,0.0,0.13,-0.89,-3.12,-0.57,0.14,0.18,0.39,-0.13,0.08,-0.04,0.0,-3.12,0.0,-0.13,0.08
22,"Vice President Mike Pence tried to assuage Americans’ concerns over the potential cost they could face getting a coronavirus test should they become affected by the outbreak, saying that the test will be covered by all private insurance plans and by Medicare …","President Donald Trump made 31 false claims last week and 55 the week before, including 22 at a campaign rally in Des Moines, Iowa, in late January and 13 in an official speech at a community college in Charlotte, North Carolina, in early February.",1.0,218,43,12,14,1,43.0,5.069767441860465,0,8.333333333333332,0.0,0.0,4.651162790697675,33,0,0,1,0,0,0,0,0,33,0,0,0,13.0,-1.0,10.0,-5.0,-1.0,-1.0,0.41,0.0,8.33,0.0,0.0,2.38,2.0,0.0,0.0,1.0,-4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-15.91,-2.83,1.17,-3.74,0.04,-0.64,0.02,-0.09,-2.53,0.0,0.05,-0.75,-2.78,-0.57,0.13,0.22,0.35,-0.13,0.04,-0.04,0.0,-2.78,0.0,-0.13,0.04
0,(Bloomberg) -- Justice Sonia Sotomayor lit up Twitter after issuing a dissent against the Supreme Court’s 5-4 vote to allow an immigrant wealth test -- designed to weed out green card applicants deemed likely to need public assistance -- to go into effect.The…,"The public charge rule, which goes into effect Monday, is a major step in the construction of what's known as Trump's ""invisible wall,"" a methodical overhaul of policies that's dramatically changing who can immigrate legally to the United States.",0.0,218,43,9,15,2,22.0,5.069767441860465,0,0.0,0.0,0.0,4.651162790697675,36,0,0,0,0,0,0,0,0,36,0,0,0,10.0,4.0,1.0,3.0,0.0,-17.0,-0.26,0.0,-12.5,0.0,0.0,2.09,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,42.13,9.26,4.48,0.48,-0.35,-2.28,-0.16,-0.09,-11.62,0.0,-1.84,2.4,7.65,-0.57,0.0,0.0,-0.65,-0.17,-0.65,-0.04,0.0,7.65,0.0,-0.22,-0.65
1,"The US has reported nearly 100 cases of the novel coronavirus and six deaths, and New York recently recorded its first case.","Would you have to pay for a coronavirus test? It depends. CNN Bernie Sanders' Medicare for All Would Likely Increase Wages, Create Jobs Newsweek N.J. coronavirus update: Legislation would ensure Medicaid and insurance coverage NJ.com As coronavirus spreads, M…",0.0,103,22,3,7,2,22.0,4.681818181818182,0,0.0,0.0,0.0,0.0,20,0,0,0,2,0,1,0,0,20,0,0,1,-119.0,-17.0,-3.0,-18.0,-3.0,15.17,-1.01,-1.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-12.0,0.0,0.0,0.0,-15.37,-1.24,1.48,-3.52,-0.35,-2.28,-0.35,-0.09,-11.62,0.0,-1.84,0.07,-0.35,-0.57,0.0,0.0,0.35,-0.17,-0.15,-0.04,0.0,-0.35,0.0,-0.22,-0.15
2,"Immigrants who hope to challenge their deportation orders could be charged nearly $1,000 to go to court under a proposed new regulation unveiled Thursday, a nearly tenfold increase that immigration lawyers warn could make deportation appeals much more difficu…","President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",0.0,222,39,11,11,1,39.0,5.6923076923076925,0,9.090909090909092,0.0,0.0,0.0,28,0,0,0,1,0,1,0,0,28,0,0,1,1.0,-1.0,7.0,-6.0,-2.0,25.67,0.17,0.0,9.09,0.0,-2.5,-7.5,-3.0,0.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0,-3.0,0.0,0.0,-2.0,5.13,0.93,3.14,-3.52,-0.68,3.38,-0.08,-0.09,-8.59,0.0,-1.84,-0.7,-0.35,-0.57,0.0,0.0,0.35,-0.17,0.01,-0.04,0.0,-0.35,0.0,-0.22,0.01
3,"Small rural hospital administrators are concerned that if the changes go through, they may have to close, one expert said.","Para entender la participación en las urnas en el 2020, tenemos que repasar lo ocurrido en 2016. Ese año fue la primera elección sin las protecciones completas de la Ley de los Derechos del Votante.",0.0,103,20,7,4,2,20.0,5.15,0,14.285714285714285,0.0,0.0,5.0,20,0,0,0,1,0,0,0,0,20,0,0,0,-61.0,-15.0,6.0,-15.0,-1.0,2.5,0.46,0.0,14.29,0.0,0.0,2.14,-5.0,-6.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-5.0,0.0,0.0,0.0,-14.37,-2.74,2.98,-5.27,-0.6,1.47,-0.08,-0.09,-5.77,0.0,-1.84,0.16,-2.35,-0.57,0.0,0.0,0.35,-0.17,-0.15,-0.04,0.0,-2.35,0.0,-0.22,-0.15
