,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
10,MPs are being asked to make some important choices about the decade-long renovation of the Centre Block of Parliament Hill — choices that could have a significant impact on how Canadians experience the nation's capital. But experts with knowledge of the proje…,"The Solar Orbiter, built by NASA and ESA, launched from Cape Canaveral and began its journey to get a close, unprecedented look at the sun.",1.0,219.0,42.0,7.0,16.0,2.0,21.0,5.214285714285714,0.0,14.285714285714285,0.0,4.761904761904762,0.0,33.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,104.0,17.0,3.0,6.0,0.0,-4.0,0.61,0.0,14.29,0.0,4.76,0.0,10.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,10.0,0.0,0.0,-1.0,-47.16,-9.06,-0.96,-3.15,-0.31,-4.35,-0.13,0.05,1.7,0.0,-0.95,-0.48,-6.83,-0.05,0.03,-0.04,-0.45,-0.06,-0.21,0.0,0.0,-6.83,-0.04,-0.13,-0.21
11,The Teck Frontier project didn't deserve to be framed as a do-or-die test of political attitudes towards the energy sector and climate change. The fact that it was shows just how little progress we've made in this country in reconciling economic and environme…,"Space weather has more implications than causing glitches in Earth's satellite-based communications -- it can also strand gray whales, according to a new study. Typically, space weather is created when solar storms occur on the sun and stream out toward Earth…",1.0,218.0,43.0,8.0,12.0,2.0,21.5,5.069767441860465,0.0,25.0,0.0,2.3255813953488373,0.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,37.0,0.0,0.0,1.0,-2.0,2.0,0.0,-3.0,0.0,1.0,-0.3,0.0,12.5,0.0,2.33,-2.44,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-38.06,-7.28,-0.61,-2.81,-0.31,-4.01,-0.13,0.04,2.38,0.0,-0.92,-0.55,-5.36,-0.05,0.02,-0.05,-0.47,-0.06,-0.17,0.0,0.0,-5.36,-0.04,-0.13,-0.17
12,"Bob McDonald's science blog: New finds of the remains of Homo erectus and their stone tools reveals a culture that developed new ideas, but didn't abandon old ones","If you've always dreamed of exploring space, here's your chance.",1.0,136.0,28.0,5.0,13.0,1.0,28.0,4.857142857142857,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,1.0,81.0,18.0,1.0,11.0,-1.0,18.0,-0.64,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,-36.67,-6.94,-0.54,-2.45,-0.39,-3.22,-0.14,0.04,1.02,0.0,-1.07,-0.61,-4.97,-0.05,0.02,-0.06,-0.49,-0.06,-0.14,0.0,0.0,-4.97,-0.04,-0.13,-0.14
13,"Advances in missile technology by both the Russians and the Chinese have the potential to paralyze leaders and decision-makers in a crisis, Canada's top military commander warned in a speech Wednesday.",Satellite images released by NASA and the European Space Agency reveal that air pollution over China has gone down since the coronavirus outbreak.,1.0,171.0,31.0,3.0,12.0,2.0,31.0,5.516129032258065,0.0,0.0,0.0,3.225806451612903,6.451612903225806,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,47.0,8.0,-1.0,2.0,0.0,8.0,0.12,0.0,0.0,0.0,3.23,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.98,-6.43,-0.63,-2.2,-0.38,-2.34,-0.1,0.03,-0.14,0.0,-0.97,-0.19,-4.98,-0.05,0.01,-0.06,-0.51,-0.06,-0.18,0.0,0.0,-4.98,-0.04,-0.13,-0.18
14,RCMP have begun their enforcement of a B.C. Supreme Court injunction in the traditional territory of the Wet'suwet'en Nation at the fourth site along a forest service road that Coastal Gaslink and its contractors have been prevented from accessing for weeks.,Johnson was among a group of black women mathematicians who helped power NASA's space travel in the early 1960s when the agency was still segregated.,1.0,218.0,41.0,6.0,16.0,4.0,14.0,5.317073170731708,0.0,16.666666666666664,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,93.0,16.0,2.0,7.0,2.0,-11.0,0.32,0.0,-33.33,0.0,-4.0,0.0,11.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,11.0,0.0,0.0,2.0,-26.65,-5.32,-0.51,-1.73,-0.24,-2.7,-0.08,0.03,-0.03,0.0,-1.1,-0.27,-4.26,-0.05,0.0,-0.07,-0.52,-0.06,-0.09,0.0,0.0,-4.26,-0.04,-0.13,-0.09
15,"Plastics made from fossil fuels generate a lot of greenhouse gas emissions and waste. 'Bioplastics,' especially compostable plastics made from plants, have been touted as a greener alternative. But what are they really? And are they really more environmentall…","Virgin Galactic, the ambitious space tourism startup founded by British entrepreneur Richard Branson, posted a net loss of $73 million for the fourth quarter.",1.0,222.0,39.0,8.0,11.0,3.0,9.75,5.6923076923076925,1.0,37.5,0.0,0.0,5.128205128205128,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,87.0,15.0,6.0,1.0,1.0,-14.25,0.07,1.0,37.5,0.0,-4.17,0.96,7.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,-20.85,-4.47,-0.27,-1.62,-0.18,-3.29,-0.04,0.08,1.36,0.0,-1.21,-0.01,-3.82,-0.05,0.0,-0.07,-0.53,-0.06,-0.13,0.0,0.0,-3.82,-0.04,-0.13,-0.13
17,"The fallout from Teck's decision to pull the plug on the Frontier oilsands project in northern Alberta has significant political, economic and environmental ramifications. We take a look at who benefits from the decision and who could take a hit.","Visitors to Rome have long enjoyed visiting a host of ancient architectural sites, from the fascinating Coliseum to the grandeur of the Pantheon.",1.0,207.0,40.0,5.0,13.0,3.0,20.0,5.175,0.0,0.0,0.0,5.0,2.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,84.0,17.0,0.0,7.0,1.0,-3.0,-0.17,0.0,0.0,0.0,-8.04,2.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,-12.65,-2.89,-0.22,-1.01,-0.09,-3.09,-0.03,0.07,0.63,0.0,-0.71,0.12,-3.08,-0.05,-0.01,-0.08,-0.5,-0.06,-0.2,0.0,0.0,-3.08,-0.04,-0.13,-0.2
18,RCMP have begun their enforcement of a B.C. Supreme Court injunction in the traditional territory of the Wet'suwet'en Nation at the fourth site along a forest service road that Coastal Gaslink and its contractors have been prevented from accessing for weeks.,"Osaka's airport has just improved its facilities -- but not for its human travelers. A world-class dog rest area, which includes shower facilities and a ""pee pole"" that cleans itself, will open at Osaka International Airport this week.",1.0,218.0,41.0,6.0,16.0,4.0,14.0,5.317073170731708,0.0,16.666666666666664,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,0.0,0.0,2.0,20.0,3.0,0.0,3.0,1.0,-5.0,0.11,0.0,16.67,0.0,-2.63,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,-8.72,-2.2,-0.14,-0.69,0.01,-3.34,-0.01,0.06,0.67,0.0,-0.82,0.05,-2.62,-0.05,-0.01,-0.08,-0.51,-0.06,-0.12,0.0,0.0,-2.62,-0.04,-0.13,-0.12
19,Sales of Canadian authored books have fallen fast. But no one can agree on why — or what to do about it.,"Russia's influence campaign is driven by a desire to ""watch us tear ourselves apart,"" a senior FBI official said Monday, comments that come after details of a classified briefing to lawmakers became public in news reports, including a claim by the intelligenc…",1.0,83.0,22.0,6.0,4.0,3.0,11.0,3.772727272727273,0.0,0.0,0.0,4.545454545454546,4.545454545454546,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,-136.0,-20.0,-2.0,-11.0,2.0,-31.0,-1.44,0.0,-12.5,0.0,4.55,4.55,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-1.0,0.0,-11.93,-2.53,-0.07,-1.01,0.04,-3.71,-0.08,0.06,-0.12,0.0,-0.7,0.21,-2.7,-0.05,-0.01,-0.08,-0.52,-0.06,-0.15,0.0,0.0,-2.7,-0.04,-0.13,-0.15
20,"With little fanfare, the Senate of Canada voted today to suspend Lynn Beyak for the remainder of this parliamentary session because she failed to complete the anti-racism training she was directed to undergo the last time she was temporarily kicked out of the…","For years, some of the most towering figures in Silicon Valley have pulled off a feat that's equal parts impressive and head-scratching: running two or more sizable companies at the same time. Now, it's coming under scrutiny.",1.0,218.0,43.0,9.0,12.0,1.0,43.0,5.069767441860465,0.0,22.22222222222222,0.0,2.3255813953488373,2.3255813953488373,28.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,28.0,0.0,0.0,3.0,29.0,6.0,3.0,3.0,-2.0,24.5,-0.04,0.0,22.22,0.0,-3.08,2.33,-7.0,0.0,1.0,-2.0,-1.0,0.0,3.0,0.0,0.0,-7.0,0.0,0.0,3.0,-8.41,-1.83,0.13,-0.92,-0.02,-2.53,-0.08,0.05,0.22,0.0,-0.69,0.25,-2.48,-0.05,0.03,-0.09,-0.53,-0.06,-0.04,0.0,0.0,-2.48,-0.04,-0.13,-0.04
21,RCMP are poised to enforce a B.C. Supreme Court injunction in the traditional territory of the Wet’suwet’en Nation at the fourth site along a forest service road that Coastal Gaslink and its contractors have been prevented from accessing for weeks.,"Between the ruffles and the thigh-high slits, the sequins and the classic glam silhouettes of the many dresses seen on the 92nd Academy Awards red carpet Sunday night, two design details seemed to have the biggest (quite literally) fashion moment: capes and s…",1.0,209.0,40.0,8.0,17.0,4.0,13.666666666666666,5.225,0.0,25.0,0.0,2.5,0.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,35.0,0.0,0.0,1.0,-9.0,-3.0,4.0,0.0,3.0,-29.33,0.16,0.0,25.0,0.0,0.17,0.0,2.0,1.0,0.0,-1.0,-2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,-5.62,-1.33,0.27,-0.61,0.05,-2.78,-0.07,0.05,0.65,0.0,-0.68,0.18,-1.97,-0.01,0.03,-0.09,-0.54,-0.06,-0.03,0.0,0.0,-1.97,-0.04,-0.13,-0.03
22,"Canadian passengers from the quarantined Diamond Princess cruise ship in Japan who have not tested positive for COVID-19 are on a charter flight that is expected to arrive in Trenton, Ont., in the wee hours of Friday morning.","Not long after Valentine's Day ends, a massive asteroid estimated to be between 1,443 feet and 3,248 feet long will pass by Earth around 6:05 a.m. ET on Saturday. Based on the size range, it could be anywhere between the size of a suspension bridge to taller …",1.0,188.0,38.0,6.0,15.0,3.0,19.5,4.947368421052632,0.0,33.33333333333333,0.0,2.631578947368421,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-25.0,-10.0,-3.0,0.0,-1.0,7.25,0.51,0.0,11.11,0.0,2.63,0.0,3.0,0.0,0.0,0.0,-3.0,0.0,-1.0,0.0,0.0,3.0,0.0,0.0,-1.0,-3.98,-0.96,0.31,-0.41,0.08,-2.76,-0.07,0.05,1.41,0.0,-0.66,0.12,-1.59,-0.01,0.03,-0.09,-0.55,-0.06,-0.06,0.0,0.0,-1.59,-0.04,-0.13,-0.06
23,"Almost a quarter-century ago, Canada had a comprehensive plan to repair the Crown-Indigenous relationship. Is it time to revisit the final report of the Royal Commission on Aboriginal Peoples?","More than a year after NASA's New Horizons mission closely flew by a small, distant Kuiper Belt Object, researchers have been able to sift through the data and learn intriguing new details about this fossil from the formation of the solar system. Located four…",1.0,164.0,29.0,4.0,10.0,2.0,14.5,5.655172413793103,1.0,0.0,0.0,3.4482758620689653,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,1.0,-53.0,-15.0,-3.0,-5.0,0.0,-7.5,0.72,1.0,-14.29,0.0,1.18,0.0,-17.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-17.0,0.0,0.0,1.0,-3.48,-0.99,0.27,-0.44,0.07,-2.95,-0.05,0.08,0.72,0.0,-0.61,0.06,-1.7,-0.01,0.02,-0.09,-0.55,-0.06,-0.04,0.0,0.0,-1.7,-0.04,-0.13,-0.04
24,"Betelgeuse just keeps on getting weirder. After an unprecedented dimming, followed by the detection of a gravitational wave, the star seems to have changed shape.","At daybreak on the shores of the island nation of São Tomé e Príncipe, Sunny Dolat transformed into a high priest. Before an intimate audience at the 2019 N'golá Biennial of Arts and Culture, and joined by 46 models, the Kenyan creative director and fashion c…",1.0,138.0,25.0,6.0,7.0,3.0,12.5,5.52,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,-77.0,-21.0,4.0,-14.0,1.0,-10.5,0.85,0.0,0.0,0.0,-4.35,0.0,-13.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,-13.0,0.0,0.0,0.0,-4.06,-1.18,0.31,-0.58,0.09,-3.2,-0.03,0.08,0.08,0.0,-0.7,0.0,-1.76,-0.01,0.02,-0.09,-0.56,-0.06,-0.07,0.0,0.0,-1.76,-0.04,-0.13,-0.07
25,Canadian passengers aboard the quarantined Diamond Princess cruise ship in Japan who have not tested positive for COVID-19 are expected to disembark today ahead of a charter flight that's scheduled to leave Tokyo on Friday.,"In the foothills of the Sierra de los Órganos Mountains, more than two hours west of Havana, a trickle of riders on horseback descends a reddish-brown mountain in a serpentine line. They smile as they pass a group of hikers and continue on their ride.",1.0,189.0,35.0,8.0,12.0,2.0,35.0,5.4,0.0,12.5,0.0,2.857142857142857,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,-18.0,-10.0,4.0,-1.0,-1.0,12.5,0.8,0.0,12.5,0.0,0.63,0.0,0.0,-2.0,0.0,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.63,-0.98,0.42,-0.52,0.08,-2.57,-0.02,0.07,-0.03,0.0,-0.67,-0.05,-1.43,-0.01,0.02,-0.1,-0.57,-0.06,-0.1,0.0,0.0,-1.43,-0.04,-0.13,-0.1
