,Text,Reference,Label,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms,% of generalizing terms,% of # and quantifiers,1st person pronouns,2nd and 3rd person pronouns,Exclusive term,# of exclamation marks,Lexical,Singular pronouns(1st person),Group ref pronouns(1st person),2nd 3rd pronouns,# of Characters- sub,# of Words- sub,# of Verbs- sub,# of Noun- sub,# of Sentence- sub,Average # of Words per Sentence- sub,Average # of Characters per Words- sub,# of Question Marks- sub,% of Subjective Verbs- sub,% of Passive Voice- sub,% of Positive Words- sub,% of Negative Words- sub,# of Unique Wrods/Terms- sub,# of Misspelled Words- sub,# of Causation Terms- sub,% of generalizing terms- sub,% of # and quantifiers- sub,1st person pronouns- sub,2nd and 3rd person pronouns- sub,Exclusive term- sub,# of exclamation marks- sub,Lexical- sub,Singular pronouns(1st person)- sub,Group ref pronouns(1st person)- sub,2nd 3rd pronouns- sub,# of Characters- avg sub,# of Words- avg sub,# of Verbs- avg sub,# of Noun- avg sub,# of Sentence- avg sub,Average # of Words per Sentence- avg sub,Average # of Characters per Words- avg sub,# of Question Marks- avg sub,% of Subjective Verbs- avg sub,% of Passive Voice- avg sub,% of Positive Words- avg sub,% of Negative Words- avg sub,# of Unique Wrods/Terms- avg sub,# of Misspelled Words- avg sub,# of Causation Terms- avg sub,% of generalizing terms- avg sub,% of # and quantifiers- avg sub,1st person pronouns- avg sub,2nd and 3rd person pronouns- avg sub,Exclusive term- avg sub,# of exclamation marks- avg sub,Lexical- avg sub,Singular pronouns(1st person)- avg sub,Group ref pronouns(1st person)- avg sub,2nd 3rd pronouns- avg sub
10,"A Calgary woman continued to face a murder charge in the death of her child, even after prosecutors had been given evidence that appears to contradict results of the baby’s original autopsy, The Fifth Estate has learned.","The federal prosecutor leading the probe into the 2016 Trump-Russia investigation might be pursuing a basis to accuse former US intelligence officials who served under former President Barack Obama of hiding intelligence about Russia's election interference, …",1.0,184,37,10,14,2,37.0,4.972972972972973,0,10.0,0.0,0.0,8.108108108108109,31,0,0,0,0,0,2,0,0,31,0,0,2,-40.0,0.0,3.0,-2.0,1.0,0.0,-1.08,0.0,-4.29,0.0,-8.11,2.7,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.08,-2.05,0.25,-0.62,0.46,-1.85,0.19,0.0,9.55,0.0,-0.03,2.43,-0.85,0.0,-0.05,-0.09,-0.21,-0.02,-0.32,-0.06,-0.01,-0.85,-0.01,-0.01,-0.32
11,Perpetrators of domestic violence in First Nations communities east of Regina are often court-ordered to take a 52-week intervention program to try to break the cycle of violence and heal the family.,"The family of a British teenager killed in a road accident involving the wife of a American diplomat in August 2019 has called for the UK government to block the extradition of Julian Assange to the US, unless Washington agrees to send Anne Sacoolas in the op…",1.0,168,32,5,12,2,32.0,5.25,0,20.0,0.0,3.125,3.125,22,0,0,0,0,0,0,0,0,22,0,0,0,-46.0,-15.0,-2.0,-3.0,1.0,-15.0,0.7,0.0,20.0,0.0,3.12,1.0,-8.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-8.0,0.0,0.0,0.0,-4.89,-2.1,0.19,-0.69,0.43,-1.41,0.18,0.0,9.56,0.0,0.12,2.15,-1.34,0.0,-0.05,-0.09,-0.25,-0.02,-0.37,-0.06,-0.01,-1.34,-0.01,-0.01,-0.37
12,A group of HIV/AIDS organizations is hoping to establish a new legal precedent that would keep people with HIV from facing criminal charges for non-disclosure if they use a condom during sex.,One woman testified that Harvey Weinstein used his hands to sexually assault her as employees sat nearby.,1.0,160,32,7,9,2,32.0,5.0,0,14.285714285714285,0.0,0.0,3.125,30,0,0,0,0,0,0,0,0,30,0,0,0,71.0,15.0,3.0,4.0,0.0,15.0,-0.24,0.0,14.29,0.0,0.0,-2.76,13.0,0.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,13.0,0.0,0.0,-3.0,-6.19,-2.15,0.29,-0.98,0.4,-1.04,0.14,0.0,9.13,0.0,0.0,1.92,-1.14,0.0,-0.05,-0.09,-0.28,-0.02,-0.42,-0.06,-0.01,-1.14,-0.01,-0.01,-0.42
13,"Intimate partner violence makes up nearly one-third of all police-reported violent crime in this country, and many victims say that the legal system is complicating efforts to change this.","A Cook County, Illinois, grand jury has returned a six-count indictment against actor Jussie Smollett for making false reports, a special prosecutor said Tuesday.",1.0,160,29,5,10,2,29.0,5.517241379310345,0,20.0,0.0,0.0,6.896551724137931,29,0,0,2,0,0,0,0,0,29,0,0,0,21.0,5.0,1.0,-1.0,0.0,5.0,-0.27,0.0,20.0,0.0,-4.17,2.73,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,-7.3,-2.4,0.24,-1.16,0.38,-0.93,0.15,0.0,9.17,0.0,-0.1,1.99,-1.04,0.0,-0.05,0.05,-0.31,-0.02,-0.45,-0.06,-0.01,-1.04,-0.01,-0.01,-0.45
14,"Adam Booth, 35, got his full acquittal on Dec. 11, 2019 — three years and a month after he was sentenced to 12 years in prison minus time served for charges including robbery and aggravated assault.","Michael Bloomberg is heard defending his controversial stop and frisk policing policy in stark terms in snippets of audio that were posted on Twitter Monday, with the former New York mayor describing the policy as a way to reduce violence by throwing minority…",1.0,163,36,6,14,3,18.0,4.527777777777778,0,16.666666666666664,0.0,0.0,5.555555555555555,32,0,0,0,5,0,2,0,0,32,0,0,2,-55.0,-7.0,-2.0,-4.0,2.0,-25.0,-0.54,0.0,-8.33,0.0,0.0,0.9,-5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,-5.0,0.0,0.0,1.0,-8.07,-2.15,0.26,-1.04,0.43,-1.57,0.1,0.0,8.99,0.0,-0.18,1.96,-0.76,0.0,-0.05,0.04,0.0,-0.02,-0.35,-0.06,-0.01,-0.76,-0.01,-0.01,-0.35
15,"U.S. Attorney General William Barr publicly swiped at Donald Trump on Thursday, declaring the president's tweets about Justice Department prosecutors and open cases ""make it impossible for me to do my job."" The White House said Barr has the president's confid…","British backpacker Grace Millane was strangled to death, crammed into a suitcase and buried in woodland after a Tinder date in New Zealand. Her attacker claimed she died in an ""sex game gone wrong,"" amid a rise in what's become known as the ""50 Shades"" defens…",1.0,220,41,6,20,4,10.75,5.365853658536586,0,0.0,0.0,0.0,2.4390243902439024,35,0,0,0,0,0,1,0,0,35,2,0,1,5.0,-5.0,-3.0,4.0,2.0,-12.25,0.69,0.0,-11.11,0.0,0.0,-4.08,-4.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-4.0,2.0,0.0,0.0,-5.18,-1.62,0.27,-0.57,0.53,-2.59,0.1,0.0,7.78,0.0,-0.26,1.74,-0.32,0.0,-0.05,0.03,-0.04,-0.02,-0.33,-0.06,-0.01,-0.32,0.11,-0.01,-0.33
16,"A jury has found Harvey Weinstein guilty of rape and sexual assault in New York but did not convict him of the two most serious charges of predatory sexual assault, which could have sent him to prison for life.","French cinema is gearing up for a watershed moment on Friday when ""An Officer and a Spy,"" the latest movie from Roman Polanski, competes for 12 César awards. The results will be seen as a verdict on how far the industry -- and the country -- has come in the #…",1.0,172,39,7,11,2,39.0,4.410256410256411,0,0.0,0.0,0.0,15.384615384615385,32,0,0,1,1,0,2,0,0,32,0,0,2,-38.0,-12.0,-1.0,-4.0,0.0,13.5,0.29,0.0,-25.0,0.0,-1.96,15.38,-4.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,-4.0,0.0,0.0,2.0,-5.45,-1.27,0.35,-0.68,0.5,-1.82,0.04,0.0,6.72,0.0,-0.33,2.31,-0.11,0.0,-0.05,0.08,-0.02,-0.02,-0.25,-0.06,-0.01,-0.11,0.11,-0.01,-0.25
17,"Appeals judges at the International Criminal Court gave the green light Thursday for prosecutors to open an investigation targeting the Taliban, Afghan forces and U.S. military and CIA personnel for war crimes and crimes against humanity.","The announcement Tuesday that Jussie Smollet has, again, been indicted by a Chicago grand jury is the latest twist in a headline-grabbing case that has taken numerous turns in the year since the actor said he was the victim of a racist and homophobic attack.",1.0,203,36,3,19,4,12.333333333333334,5.638888888888889,0,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,0,0,26,0,0,0,-11.0,-9.0,-5.0,5.0,2.0,-32.67,0.88,0.0,-37.5,0.0,-2.22,-6.67,-8.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-8.0,0.0,0.0,-1.0,-3.97,-1.13,0.19,-0.33,0.59,-2.62,0.06,0.0,5.77,0.0,-0.39,1.96,-0.26,0.0,-0.05,0.07,-0.05,-0.02,-0.29,-0.06,-0.01,-0.26,0.1,-0.01,-0.29
18,"With coronavirus concerns still very much in the mix, U.S. stock futures are pointing to more losses for Wall Street following a Friday sell-off.","President Donald Trump made 56 false claims last week -- repeating one of his conspiracy theories about the 2016 election, promoting new fiction about impeachment witness Lt. Col. Alexander Vindman, and inflating his accomplishments and his standing in the po…",1.0,122,24,3,11,4,8.333333333333334,5.083333333333333,0,33.33333333333333,0.0,0.0,8.333333333333332,24,0,0,0,0,0,0,0,0,24,0,0,0,-99.0,-16.0,-1.0,-6.0,1.0,-5.0,-0.44,0.0,33.33,0.0,-2.5,0.83,-7.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,-7.0,0.0,0.0,-3.0,-6.91,-1.63,0.05,-0.44,0.67,-3.55,0.05,0.0,6.68,0.0,-0.44,2.09,-0.49,0.0,-0.05,0.06,-0.08,-0.02,-0.32,-0.06,-0.01,-0.49,0.09,-0.01,-0.32
19,Four lawyers who prosecuted Roger Stone quit the case Tuesday after the Justice Department said it would take the extraordinary step of lowering the amount of prison time it would seek for President Donald Trump's longtime ally and confidant.,"A federal judge has denied Donald Trump confidant Roger Stone a new trial after he made a request for one under seal, according to a notice from the court.",1.0,204,39,8,16,2,39.0,5.230769230769231,0,0.0,0.0,2.564102564102564,2.564102564102564,29,0,0,0,1,0,2,0,0,29,0,0,2,77.0,10.0,4.0,5.0,0.0,10.0,0.85,0.0,0.0,0.0,2.56,-0.88,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,-5.45,-1.34,0.17,-0.29,0.64,-2.85,0.05,0.0,5.83,0.0,-0.36,1.91,-0.46,0.0,-0.05,0.06,-0.06,-0.02,-0.25,-0.06,-0.01,-0.46,0.09,-0.01,-0.25
20,"The Trump administration can withhold millions of dollars in law enforcement grants to force states to co-operate with U.S. immigration enforcement, a federal appeals court in New York ruled Wednesday in a decision that conflicted with three other federal app…","Sen. Chuck Schumer did cross a line with a statement he delivered vociferously at a rally outside the Supreme Court (and he has apologized), but the rebuke from Chief Justice Roberts opened the gates to feigned outrage by Mitch McConnell, the President and hi…",1.0,221,40,5,18,3,13.666666666666666,5.525,0,0.0,0.0,0.0,2.5,29,0,0,0,1,0,0,0,0,29,0,0,0,4.0,-4.0,-2.0,0.0,1.0,-8.33,0.59,0.0,0.0,0.0,0.0,-4.32,-6.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-6.0,0.0,0.0,-2.0,-3.33,-1.02,0.14,-0.06,0.66,-3.43,0.06,0.0,5.07,0.0,-0.41,1.75,-0.42,0.0,-0.05,0.05,-0.04,-0.02,-0.29,-0.06,-0.01,-0.42,0.08,-0.01,-0.29
21,"U.S. President Donald Trump has commuted what he called a ""ridiculous"" 14-year prison sentence for former Illinois governor Rod Blagojevich and pardoned former New York Police Department commissioner Bernie Kerik, among a long list of others.","Michael Bloomberg unveiled a suite of proposals on Tuesday aimed at addressing racial disparities in the criminal justice system, reducing the prison population and investing in reintegration initiatives.",1.0,207,36,4,19,4,12.333333333333334,5.75,0,0.0,0.0,0.0,5.555555555555555,32,0,0,0,0,0,1,0,0,32,0,0,1,30.0,8.0,-1.0,7.0,2.0,-15.67,-0.57,0.0,0.0,0.0,0.0,-1.59,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,-2.03,-0.91,0.07,0.19,0.73,-4.01,0.08,0.0,4.37,0.0,-0.46,1.74,-0.26,0.0,-0.05,0.04,-0.07,-0.02,-0.27,-0.06,-0.01,-0.26,0.08,-0.01,-0.27
22,"Although a New York jury found former producer Harvey Weinstein guilty of rape and sexual assault, many activists caution that the fight to fix a 'broken system' continues.","The Justice Department will backtrack on its request that longtime Donald Trump confidante Roger Stone get up to nine years in prison, a senior department official said Tuesday, contradicting its own federal prosecutors in a highly unusual and politically cha…",1.0,145,28,4,11,2,28.0,5.178571428571429,0,0.0,0.0,0.0,10.714285714285714,26,0,0,1,0,0,0,0,0,26,0,0,0,-76.0,-12.0,-2.0,-3.0,1.0,-12.0,-0.35,0.0,0.0,0.0,0.0,5.71,-8.0,0.0,0.0,1.0,-1.0,0.0,-2.0,0.0,0.0,-8.0,0.0,0.0,-2.0,-3.54,-1.16,0.0,0.08,0.7,-3.86,0.07,0.0,3.73,0.0,-0.5,1.96,-0.36,0.0,-0.05,0.08,-0.1,-0.02,-0.3,-0.06,-0.01,-0.36,0.08,-0.01,-0.3
23,"As the criminal trial of four men charged with the destruction of Flight MH17 begins in the Netherlands, victims' families demand the Kremlin’s highest representatives be held responsible.","Evelyn Yang, whose appearance on CNN last month to share her story of alleged sex assault at the hands of a former Columbia University gynecologist spurred a cascade of new accusers against the same doctor, applauded the Manhattan District Attorney's announce…",1.0,161,28,5,12,2,28.0,5.75,0,20.0,0.0,0.0,7.142857142857142,22,0,0,0,1,0,0,0,0,22,0,0,0,-59.0,-13.0,3.0,-8.0,1.0,-13.0,0.38,0.0,20.0,0.0,0.0,4.7,-11.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,-11.0,0.0,0.0,-2.0,-4.26,-1.39,-0.02,0.02,0.68,-3.72,0.09,0.0,3.98,0.0,-0.53,2.01,-0.63,0.0,-0.05,0.07,-0.08,-0.02,-0.33,-0.06,-0.01,-0.63,0.07,-0.01,-0.33
24,"An 18-year-old has been charged with manslaughter in the stabbing death of 16-year-old Elijak-Iain Beauregard, who died in hospital days after being stabbed in downtown Kelowna last summer.","More than one thousand members of the historic African-American sorority, Delta Sigma Theta, descended on Capitol Hill on Tuesday to promote 10 pieces of legislation they say are critical to the black community.",1.0,162,28,7,9,2,28.0,5.785714285714286,0,14.285714285714285,0.0,0.0,7.142857142857142,25,0,0,0,0,0,0,0,0,25,0,0,0,-17.0,-5.0,3.0,-2.0,0.0,-5.0,0.36,0.0,-10.71,0.0,0.0,4.11,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.88,-1.61,0.04,-0.16,0.65,-3.6,0.11,0.0,3.98,0.0,-0.57,2.06,-0.76,0.0,-0.05,0.07,-0.1,-0.02,-0.35,-0.06,-0.01,-0.76,0.07,-0.01,-0.35
25,"A mother in Regina says she has run out of ways to help her 23-year-old son, who is living on the streets in Victoria.","Michael Bloomberg touted the endorsements of three members of the Congressional Black Caucus on Wednesday, a day after the former New York mayor again faced questions about his previous support for stop-and-frisk policing practices.",1.0,95,24,6,6,2,24.0,3.9583333333333335,0,16.666666666666664,0.0,0.0,0.0,22,0,0,0,0,0,3,0,0,22,0,0,3,-104.0,-10.0,5.0,-10.0,0.0,-10.0,-1.89,0.0,16.67,0.0,-2.94,-2.94,-7.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0,-7.0,0.0,0.0,2.0,-8.03,-1.96,0.06,-0.44,0.63,-3.63,0.05,0.0,4.07,0.0,-0.6,1.82,-0.99,0.0,-0.05,0.06,-0.12,-0.02,-0.26,-0.06,-0.01,-0.99,0.07,-0.01,-0.26
26,"Former Vancouver detective James Fisher helped a young woman set up a madam business, gave her advice about avoiding arrest and even demanded payment from a violent john on her behalf, a B.C. court heard last month.","Since Evelyn Yang told her story, nearly 40 additional people have alleged sexual misconduct by OB-GYN Robert Hadden, who avoided prison time in a 2016 plea deal.",1.0,179,37,6,16,4,12.666666666666666,4.837837837837838,0,0.0,0.0,2.7027027027027026,2.7027027027027026,31,0,0,0,0,0,4,0,0,31,0,0,4,43.0,10.0,2.0,4.0,2.0,-14.33,-0.2,0.0,0.0,0.0,2.7,-4.7,4.0,0.0,0.0,0.0,-2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,-7.84,-1.8,0.08,-0.33,0.69,-4.09,0.04,0.0,3.54,0.0,-0.53,1.71,-0.87,0.0,-0.05,0.06,-0.14,-0.02,-0.14,-0.06,-0.01,-0.87,0.06,-0.01,-0.14
