,Statement,# of Characters,# of Words,# of Verbs,# of Noun,# of Sentence,Average # of Words per Sentence,Average # of Characters per Words,# of Question Marks,% of Subjective Verbs,% of Passive Voice,% of Positive Words,% of Negative Words,# of Unique Wrods/Terms,# of Misspelled Words,# of Causation Terms
10,Facebook and gaming hardware maker Razer are among the first US technology companies to begin restricting travel to China amid the ongoing coronavirus outbreak.,137,24,4,11,2,24.0,5.708333333333333,0,0.0,0.0,0.0,4.166666666666666,20,0,0
11,Shenzhen event pushed to late March,30,6,2,3,1,6.0,5.0,0,0.0,0.0,0.0,0.0,6,0,0
12,"The most exciting story of the day was Microsoft releasing a bunch of software tools for its upcoming dual-screen Android phone, the Duo. It includes the necessary bits to build Android apps that are aware of the hinge and its various positions and even some …",215,46,5,15,2,23.0,4.673913043478261,0,0.0,0.0,2.1739130434782608,0.0,33,0,0
13,"Alex Azar, HHS Secretary, spoke with Mary Walter on The Brian Kilmeade Show about some of the healthcare accomplishments from the first three years of the Trump administration, including empowering Americans to be in control of their healthcare choices, lower…",221,40,4,19,1,40.0,5.525,0,0.0,0.0,2.5,0.0,32,0,0
14,"Brad Parscale on why the impeachment trial is actually benefiting the Trump reelection effort. Plus, commentary by Judge Napolitano.",114,19,2,9,3,9.5,6.0,0,0.0,0.0,0.0,0.0,17,0,0
15,Senator Tom Cotton (R-AR) spoke with Brian Kilmeade to discuss day one of the Senate Impeachment trial and the contrast with President Trump in Davos. Cotton said he was struck at how unprepared the House Democrats were to make their case and how they are dem…,215,46,8,18,2,23.0,4.673913043478261,0,0.0,0.0,0.0,4.3478260869565215,33,0,0
16,"Officials report the coronavirus has spread to at least 13 countries, including the U.S.; Steve Harrigan reports from Atlanta.",108,19,4,8,4,7.0,5.684210526315789,0,0.0,0.0,0.0,0.0,17,0,0
17,"Dr. Anthony Fauci, director of the National Institute of Allergy and Infectious Diseases, joins Bret Baier on 'Special Report.'",109,19,1,12,3,6.666666666666667,5.7368421052631575,0,0.0,0.0,0.0,0.0,17,0,0
18,"As a new strain of deadly coronavirus infecting hundreds in China crosses international borders into the U.S., this outbreak begs the question: how do you treat coronavirus?",147,27,5,9,3,9.666666666666666,5.444444444444445,1,0.0,0.0,0.0,11.11111111111111,25,0,0
19,"Three weeks after Chinese officials announced the outbreak of a new virus, more than 400 people have been sickened and 17 have died, leading to questions of just how alarmed should the public be.",162,34,9,6,2,34.0,4.764705882352941,0,11.11111111111111,0.0,2.941176470588235,11.76470588235294,28,0,0
20,"With the outbreak of novel coronavirus, some travel has been affected.",60,11,3,3,2,11.0,5.454545454545454,0,33.33333333333333,0.0,0.0,9.090909090909092,11,0,0
21,"A man confirmed as Germany's first case of the new virus that has emerged in central China is believed to have been infected by a Chinese colleague who visited his workplace, authorities said Tuesday.",167,34,10,9,2,34.0,4.911764705882353,0,10.0,0.0,0.0,5.88235294117647,34,0,0
22,A flight attendant’s union doesn’t want their members to be forgotten about during the coronavirus outbreak.,93,16,4,10,2,16.0,5.8125,0,0.0,0.0,0.0,6.25,16,0,0
23,The current outbreak in China of Wuhan coronavirus (Wuhan CoV) represents a significant public health challenge.,97,16,1,8,2,16.0,6.0625,0,0.0,0.0,6.25,6.25,16,0,0
24,Do surgical masks really work?,26,5,2,1,1,5.0,5.2,1,0.0,0.0,20.0,0.0,5,0,0
25,"After the initial outbreak of the novel coronavirus in the Chinese city of Wuhan, medical professionals have examined which physiological archetypes and age groups might have a greater risk of contracting the disease, in an effort to educate the public.",214,40,6,12,2,40.0,5.35,0,0.0,0.0,0.0,5.0,28,0,0
26,The government of Mongolia said Monday it has closed its large border with China and Malaysia announced that it would bar visitors from the Chinese province at the epicenter of the coronavirus outbreak after medical officials warned its ability to spread was …,218,43,9,13,1,43.0,5.069767441860465,0,0.0,0.0,0.0,4.651162790697675,34,0,0
27,The virus has been linked to at least 17 deaths.,39,10,3,2,2,10.0,3.9,0,33.33333333333333,0.0,0.0,10.0,10,0,0
28,"Amid an outbreak of a deadly pneumonia-like illness that’s claimed at least 17 lives and sickened hundreds of others, how can you protect yourself?",124,24,5,6,1,24.0,5.166666666666667,1,0.0,0.0,4.166666666666666,12.5,22,0,0
29,The coronavirus's rapid spread worldwide is forcing Big Tech to confront the equally viral proliferation of misinformation -- in the form outright falsehoods and half-truths about the outbreak.,166,28,4,11,2,28.0,5.928571428571429,0,0.0,0.0,3.571428571428571,7.142857142857142,25,0,0
30,Johns Hopkins University has put out a heat map that updates the number of confirmed coronavirus cases across the world in real time.,111,23,3,10,2,23.0,4.826086956521739,0,0.0,0.0,0.0,0.0,21,0,0
31,"U.S. health officials are investigating a possible case of the novel coronavirus after a Texas A&M University student contracted a respiratory illness, within two weeks of visiting China.",160,28,4,15,4,9.666666666666666,5.714285714285714,0,0.0,0.0,0.0,3.571428571428571,23,0,0
32,Popular travel blogger Wang Mengyun said she didn't know about virus at the time of filming.,77,16,3,8,2,16.0,4.8125,0,0.0,0.0,0.0,6.25,16,0,0
33,"A student at Baylor University in Waco, Texas, has possibly been infected with a China-linked coronavirus that’s killed at least 81 people and sickened thousands of others.",146,27,5,10,2,27.0,5.407407407407407,0,20.0,0.0,0.0,7.4074074074074066,25,0,0
34,Health officials in China grappling to manage the outbreak of a new coronavirus now fear the disease could be a so-called “super-spreader.”,118,22,5,8,2,11.5,5.363636363636363,0,0.0,0.0,0.0,9.090909090909092,18,0,0
35,"China’s deadly coronavirus has claimed its first life outside the city of Wuhan, the epicenter where the infectious disease began, officials confirmed Thursday.",138,23,5,10,2,23.0,6.0,0,0.0,0.0,0.0,4.3478260869565215,20,0,0
36,"There need to be ""serious consequences"" for China's ""malfeasance"" in response to their coronavirus outbreak, Sen. Tom Cotton, R-Ark., said Wednesday.",129,21,3,11,4,7.333333333333333,6.142857142857143,0,0.0,0.0,0.0,4.761904761904762,19,0,0
37,"The third case of coronavirus in the U.S. was confirmed in Southern California on Saturday, according to the Orange County Health Care Agency's Communicable Disease Control Division.",156,27,3,14,4,9.333333333333334,5.777777777777778,0,0.0,0.0,0.0,0.0,23,0,0
38,The U.S. Department of State updated its travel advisory for China amid the ongoing coronavirus outbreak that’s sickened over 500 and killed at least 17 people.,135,26,4,10,4,9.0,5.1923076923076925,0,0.0,0.0,0.0,7.6923076923076925,26,0,0
39,President Trump Wednesday said the United States has a plan to contain the deadly coronavirus after the first case was reported in the country this week.,128,26,5,10,2,26.0,4.923076923076923,0,0.0,0.0,0.0,3.8461538461538463,22,0,0
40,Two United Airlines passengers on a flight from Shanghai were examined upon arrival in Chicago O’Hare for exhibiting possible coronavirus symptoms Tuesday.,134,22,3,13,2,22.0,6.090909090909091,0,0.0,0.0,0.0,4.545454545454546,22,0,0
41,"At least 100 Australian school children are reportedly stranded in Wuhan, China amid a deadly outbreak of novel coronavirus that’s claimed more than 80 lives and sickened thousands.",154,28,5,8,2,28.0,5.5,0,0.0,0.0,0.0,7.142857142857142,28,0,0
42,The Centers for Disease Control and Prevention (CDC) on Tuesday announced its updated travel recommendations for China amid the outbreak of novel coronavirus.,136,23,1,11,2,23.0,5.913043478260869,0,0.0,0.0,4.3478260869565215,4.3478260869565215,21,0,0
43,United Airlines is suspending some flights to China as coronavirus fears have led to a decline in travel demand to the country.,106,22,4,9,2,22.0,4.818181818181818,0,0.0,0.0,4.545454545454546,9.090909090909092,19,0,0
44,"Dr. Mehmet Oz on Thursday reacted to the Chinese government quarantining the epicenter of the coronavirus outbreak, explaining that such a virus is hard to contain once it begins to spread from person to person.",177,35,7,11,3,17.5,5.057142857142857,0,0.0,0.0,0.0,8.571428571428571,28,0,0
45,Virginia health officials are investigating three possible cases of a deadly coronavirus that’s killed more than 80 people and sickened thousands of others.,134,23,4,8,2,23.0,5.826086956521739,0,0.0,0.0,0.0,8.695652173913043,21,0,0
46,"Students studying at Duke University’s campus in Kunshan, China are reportedly being offered a $1,000 travel stipend to return home amid the deadly coronavirus outbreak that began at a live animal and seafood market in the Chinese city of Wuhan.",206,40,8,16,2,40.0,5.15,0,0.0,0.0,0.0,5.0,32,0,0
47,The Chinese Health Commission on Thursday released information on the 17 people who died following the outbreak of novel coronavirus that originated in the Chinese city of Wuhan.,151,28,4,10,2,28.0,5.392857142857143,0,0.0,0.0,0.0,7.142857142857142,19,0,0
48,The United Nations health agency based the decision after independent experts spent two days assessing information about the spread of the newly identified coronavirus.,145,24,4,10,2,24.0,6.041666666666667,0,0.0,0.0,0.0,0.0,21,0,0
49,"The coronavirus outbreak in China is closely related to other strains including MERS and SARS, making accurate diagnostic tools crucial in detecting the illness in a patient.",148,27,5,9,2,27.0,5.481481481481482,0,0.0,0.0,7.4074074074074066,7.4074074074074066,24,0,0
50,Shanghai Disneyland announced on Friday that the park will be temporarily closing amid the ongoing coronavirus outbreak “to ensure the health and safety of our guests and cast.”,150,28,5,12,2,14.5,5.357142857142857,0,0.0,0.0,0.0,3.571428571428571,23,0,0
51,"Top U.S. health officials on Tuesday provided further details on the nation's ""coordinated public health response"" to the novel coronavirus that's killed more than 100 people.",150,26,4,10,4,9.0,5.769230769230769,0,0.0,0.0,0.0,3.8461538461538463,20,0,0
52,Some pharmacies across the United States have reportedly sold out of their surgical-style mask stock in the midst of the coronavirus that has crippled China and has since spread to several other countries.,173,33,6,9,2,33.0,5.242424242424242,0,0.0,0.0,0.0,3.0303030303030303,26,0,0
53,"U.S. health officials described the outbreak as a ""rapidly changing situation,"" but said the immediate health risk to the general public remains low.",127,23,4,8,4,8.0,5.521739130434782,0,0.0,0.0,0.0,8.695652173913043,18,0,0
54,At least five people in the Canadian province of Quebec are under hospital observation amid concerns they have been exposed to the Chinese coronavirus that has sickened some 500 people and killed at least 17.,174,35,7,7,2,35.0,4.9714285714285715,0,14.285714285714285,0.0,0.0,5.714285714285714,29,0,0
55,Health officials around the world are keeping an eye on the outbreak of a new pneumonia-like virus that has killed at least six people and sickened some 300 others since it was first reported in China.,166,36,7,9,2,36.0,4.611111111111111,0,0.0,0.0,0.0,8.333333333333332,34,0,0
56,"Dr. Mehmet Oz said Monday on ""Fox & Friends"" that thousands of additional coronavirus cases will soon be confirmed and he expressed alarm about the incubation period specified by Chinese officials.",167,31,6,13,3,15.5,5.387096774193548,0,0.0,0.0,0.0,3.225806451612903,31,0,0
57,Officials in at least one African country are monitoring what may be the continent's first case of the novel coronavirus linked to a live animal and seafood market in the Chinese city of Wuhan. Current estimates say that at least 81 people have died of the vi…,214,47,8,14,2,23.5,4.553191489361702,0,0.0,0.0,0.0,2.127659574468085,34,0,0
58,It’s better to be safe than sorry.,28,7,2,1,2,7.0,4.0,0,0.0,0.0,28.57142857142857,14.285714285714285,7,0,0
59,"China's health minister said ""it seems like the ability of the virus to spread is getting stronger.""",84,17,4,6,2,9.0,4.9411764705882355,0,0.0,0.0,11.76470588235294,5.88235294117647,15,0,0
60,"Sen. Tom Cotton called on the Trump administration Tuesday to impose a ""targeted travel ban"" on flights to the United States from China to stem the spread of the coronavirus.",145,30,3,14,3,15.0,4.833333333333333,0,0.0,0.0,0.0,3.3333333333333335,21,0,0
61,"The ""health alert"" is directed at travelers from Wuhan.",47,9,2,4,2,9.0,5.222222222222222,0,0.0,0.0,0.0,0.0,9,0,0
62,The case is the second one confirmed in the U.S.,39,10,2,2,3,5.5,3.9,0,0.0,0.0,0.0,0.0,8,0,0
63,The news comes as WHO said the outbreak is not yet considered a global health emergency.,73,16,4,5,2,16.0,4.5625,0,0.0,0.0,0.0,12.5,16,0,0
64,"For weeks officials had reported the number of cases to be ""at least 41,"" but since then the number has risen to over 200.",99,24,5,5,2,24.0,4.125,0,0.0,0.0,0.0,0.0,18,0,0
65,Hong Kong's leader has announced that all rail links to mainland China will be cut starting Friday as fears grow about the spread of a new virus. Chief Executive Carrie Lam said Tuesday that both the high-speed rail station and the regular train station would…,216,45,9,19,2,22.5,4.8,0,0.0,0.0,0.0,8.88888888888889,36,0,0
66,"Many are issuing refunds, too.",26,5,2,1,2,5.0,5.2,0,0.0,0.0,0.0,0.0,5,0,0
67,"The U.S. has five confirmed cases of the new virus from China, all among people who traveled to the city at the center of the outbreak, health officials said Sunday.",136,30,4,11,4,10.333333333333334,4.533333333333333,0,0.0,0.0,0.0,6.666666666666667,24,0,0
68,Chinese officials demanded a public apology from a Danish newspaper on Tuesday for publishing a cartoon replacing the five stars on the national flag of the People's Republic of China with drawings of five microscopic particles of the coronavirus.,209,39,3,14,2,39.0,5.358974358974359,0,0.0,0.0,0.0,0.0,24,0,0
69,"The patient was first tested at an urgent care clinic, and was sent home and advised to stay there until the following day.",101,23,6,5,2,23.0,4.391304347826087,0,0.0,0.0,4.3478260869565215,4.3478260869565215,19,0,0
70,"The 1,000 bed facility is slated for completion by Feb. 3.",48,11,2,4,3,5.5,4.363636363636363,0,0.0,0.0,0.0,0.0,11,0,0
71,"China has temporarily banned the trade of wild animals as authorities scramble to contain the spread of a pneuma-like virus that has killed at least 80 people and infected nearly 2,000 others.",161,32,7,8,2,32.0,5.03125,0,0.0,0.0,0.0,15.625,26,0,0
72,"A group of masked protesters in Hong Kong on Sunday ignited a firebomb inside a newly built residential building the government had planned to use as a quarantine zone for those infected by the recent outbreak of Wuhan coronavirus, according to reports.",212,42,8,13,2,42.0,5.0476190476190474,0,0.0,0.0,0.0,4.761904761904762,33,0,0
73,"Fox News medical analyst Dr. Marc Siegel joined ""Tucker Carlson Tonight"" Monday to give an update on the coronavirus that originated in the Chinese city of Wuhan and has spread to several other countries, with at least five reported cases in the United States.",217,44,5,18,3,22.0,4.931818181818182,0,0.0,0.0,0.0,0.0,37,0,0
74,"At least two cases of the deadly coronavirus have been confirmed in Canada in a husband and wife who recently traveled to Wuhan, the epicenter of the pneumonia-like illness that’s now killed more than 100 people and sickened thousands of others worldwide.",214,42,7,11,2,42.0,5.095238095238095,0,14.285714285714285,0.0,0.0,7.142857142857142,32,0,0
75,"The Chinese government decided to restrict travel in two cities near Wuhan, China, where the deadly coronavirus was first reported, by suspending public transportation as of Thursday evening, according to reports.",183,31,6,10,2,31.0,5.903225806451613,0,0.0,0.0,0.0,6.451612903225806,29,0,0
76,"The death toll from the coronavirus that began in China and since has spread to several other countries, including the United States, rose to 41 while the number of confirmed cases in China increased to over 1,200, authorities said Saturday.",202,40,7,12,2,40.0,5.05,0,0.0,0.0,0.0,5.0,30,0,0
77,"Fox News medical analyst Dr. Marc Siegel joined ""Tucker Carlson Tonight"" Thursday to give an update on the coronavirus that originated in the Chinese city of Wuhan and has spread to several other countries, including the United States.",198,38,6,17,3,19.0,5.2105263157894735,0,0.0,0.0,0.0,0.0,33,0,0
78,"Canada announced its first case of the Coronavirus on Saturday, adding to an outbreak that has already claimed the lives of 41 people and sickened at least 1,300 others since it originated in the Chinese city of Wuhan.",181,38,6,10,2,38.0,4.7631578947368425,0,0.0,0.0,0.0,2.631578947368421,32,0,0
79,"The U.S. government is planning to boost staff at almost two dozen airports to screen nearly all passengers traveling from China, as the coronavirus continues to spread, according to the Washington Post.",172,32,8,10,4,11.0,5.375,0,0.0,0.0,3.125,0.0,26,0,0
80,A middle school in Northern Virginia this week canceled a visit of 21 Chinese exchange students and their chaperones amid the China-linked coronavirus outbreak that’s sickened more than 500 and killed at least 17.,180,34,4,11,2,34.0,5.294117647058823,0,0.0,0.0,0.0,5.88235294117647,32,0,0
81,"As the number of coronavirus patients increases, doctors are noticing some infected with the virus have little or no fever, a fact that could complicate detection, according to a report.",157,30,7,9,2,30.0,5.233333333333333,0,0.0,0.0,0.0,10.0,26,0,0
82,"The State Department on Monday urged Americans to reconsider traveling to Wuhan, China, the epicenter of the coronavirus, and said it ordered the departure of all non-emergency U.S. personnel and their families out of the country.",195,36,5,13,4,12.333333333333334,5.416666666666667,0,0.0,0.0,0.0,0.0,25,0,0
83,"On Monday, both American Airlines and Delta extended their change-fee waivers through the end of February.",91,16,1,8,2,16.0,5.6875,0,0.0,0.0,0.0,0.0,16,0,0
84,A new virus that originated in China and is popping up across the world is spurring some to cancel events for the Lunar New Year attempt to limit infection risk.,132,30,7,10,2,30.0,4.4,0,0.0,0.0,0.0,13.333333333333334,24,0,0
85,"An Ohio man who was attempting to return home from China amid a deadly outbreak of novel coronavirus claims he remains stranded in the city of Wuhan, the epicenter of the outbreak that killed at least 81 people and sickened thousands of others.",202,43,6,14,2,43.0,4.6976744186046515,0,0.0,0.0,0.0,9.30232558139535,34,0,0
86,"An outbreak of viral pneumonia that has sickened dozens in the Chinese city of Wuhan has killed at least one person, marking the first fatality since reports of the mysterious illness began.",159,32,6,9,2,32.0,4.96875,0,0.0,0.0,0.0,12.5,24,0,0
87,The man was identified as a 69-year-old who was admitted to the hospital with an array of health issues.,86,19,4,5,2,19.0,4.526315789473684,0,0.0,0.0,0.0,5.263157894736842,17,0,0
88,Passengers on a Southwest Airlines flight in Las Vegas wore masks over their mouths as another traveler was escorted off the plane after showing flu-like symptoms.,138,26,4,11,2,26.0,5.3076923076923075,0,0.0,0.0,0.0,3.8461538461538463,26,0,0
89,"China reported Monday a sharp rise in the number of people infected with a new coronavirus, including the first cases in the capital. The outbreak coincides with the country's busiest travel period, as millions board trains and planes for the Lunar New Year h…",217,44,3,20,2,22.0,4.931818181818182,0,0.0,0.0,2.272727272727273,4.545454545454546,33,0,0
90,"Officials with the National Institutes of Health (NIH) are working on a vaccine to combat the deadly Chinese coronavirus that’s sickened more than 400 people and killed at least nine, an NIH spokesperson told Fox News on Wednesday. The news comes as Chinese o…",217,44,8,17,2,22.0,4.931818181818182,0,0.0,0.0,0.0,4.545454545454546,38,0,0
91,China on Monday expanded sweeping efforts to contain a viral disease by extending the Lunar New Year holiday to keep the public at home and avoid spreading infection as the death toll rose to 80.,161,35,7,13,2,35.0,4.6,0,0.0,0.0,2.857142857142857,8.571428571428571,29,0,0
92,"While case counts are expected to rise and new cases are continually being discovered worldwide, important scientific questions have arisen - chief among these is the idea that individuals infected with the virus are capable of spreading it before symptoms ap…",220,41,13,10,1,41.0,5.365853658536586,0,0.0,0.0,4.878048780487805,7.317073170731707,36,0,0
93,"Health and Human Services Secretary Alex Azar appeared on ""The Brian Kilmeade Show"" Tuesday and addressed the precautions major U.S. airports are taking to prevent the spread of a mysterious coronavirus believed to have originated in the Chinese city of Wuhan.",220,41,8,17,4,14.0,5.365853658536586,0,0.0,0.0,0.0,2.4390243902439024,32,0,0
94,"""This situation will hit us hard.""",29,6,2,1,2,3.5,4.833333333333333,0,0.0,0.0,0.0,16.666666666666664,6,0,0
95,"Screenings for passengers arriving from Wuhan, China, will begin at airports in San Francisco, New York and Los Angeles.",102,19,3,11,2,19.0,5.368421052631579,0,0.0,0.0,0.0,0.0,19,0,0
96,"The Centers for Disease Control and Prevention (CDC) announced it will expand health entry screenings to Hartsfield-Jackson Atlanta International Airport and O’Hare International Airport in Chicago, as the U.S. on Tuesday reported its first case of the potent…",223,38,4,22,3,13.0,5.868421052631579,0,0.0,0.0,0.0,0.0,30,0,0
97,"The man developed a cough while still in China, and later tested positive for the virus while hospitalized in Japan.",97,20,3,5,2,20.0,4.85,0,0.0,0.0,5.0,5.0,16,0,0
98,"The U.S. government is sending a charter flight to the Chinese city of Wuhan Sunday in an effort to evacuate its citizens and diplomats as the country continues to battle an outbreak of the coronavirus that has already killed 41 people and infected over 1,300…",216,45,7,15,3,15.333333333333334,4.8,0,0.0,0.0,0.0,6.666666666666667,33,0,0
99,"We will likely have more cases (hopefully uncomplicated) diagnosed here and awareness of the outbreak can help the response to any cases we do have and minimize overreaction, which can prompt poor decision-making by policymakers.",195,35,11,7,2,35.0,5.571428571428571,0,0.0,0.0,5.714285714285714,5.714285714285714,25,0,0
